Stock Code,PORTFOLIO_WEIGHTS
ABFRL,0.03805429934208111
ASTERDM,0.020707434596482104
BALAXI,0.332033277157317
BATAINDIA,0.03702273316560601
BLUEDART,0.020755525705412274
CGPOWER,0.02348659962590123
CREDITACC,0.045819272489081235
DOLATALGO,0.030685333649490363
GODREJAGRO,0.007716323228108332
GODREJIND,0.05608969555229288
HAPPSTMNDS,0.006940494415000033
ITI,0.07203034112966542
KESORAMIND,0.0020746407561246594
NURECA,0.049330311191890824
RAJESHEXPO,0.061027741570520766
RESPONIND,0.000943008700491206
SFL,0.006335854280600403
SPARC,0.04827680013485757
SWANENERGY,0.0637640906903191
ZYDUSWELL,0.07690622261875736
