Stock Code,PORTFOLIO_WEIGHTS
A2ZINFRA,0.04954052656246047
ADANIPOWER,0.04302116878259276
AEGISLOG,0.019695464485292868
BAJAJCON,0.052191830871687224
DBREALTY,0.0598205336766615
EDELWEISS,0.010182004990465683
FEL,0.02224322615645777
FORTIS,0.04175775818888161
GODREJCP,0.06699777493599715
GREENPOWER,0.020421988322297094
INDUSINDBK,0.028897351419316153
JPPOWER,0.029893280210607737
JYOTHYLAB,0.0335353370971108
LICHSGFIN,0.03558832153296729
MANAPPURAM,0.0051437714524781835
MOTHERSON,0.018382433079278008
PFS,0.06490088139080889
POONAWALLA,0.0018836261550357494
SYMPHONY,0.0048508911741500975
THOMASCOOK,0.014421651979164639
TRITURBINE,0.2986034948616442
VAKRANGEE,0.04019938837186525
VEDL,0.03782729430277877
