Stock Code,PORTFOLIO_WEIGHTS
AETHER,0.015562137346272313
ALEMBICLTD,0.02449589203526324
BLS,0.036298931222607446
BLSE,0.010175977956047305
CELLO,0.0400372952207261
CENTURYPLY,0.02189498500574899
CGCL,0.030551472904424688
DATAPATTNS,0.021930520508816168
DBREALTY,0.012961238587230084
DEVYANI,0.030294224724235687
DIACABS,0.05567244609875854
DOMS,0.010569875976921928
EASEMYTRIP,0.005862323191396521
ERIS,0.014457997925618343
GREENLAM,0.0014135431804574393
GREENPLY,0.012843079394482175
HAPPSTMNDS,0.013801447868588073
HNDFDS,0.00012358856698874455
JWL,0.025101772590207988
KAYNES,0.03789531441250179
METROPOLIS,0.009304598041591861
NETWEB,0.012806602596060654
OMAXE,0.0008226168304652208
PAISALO,0.0517638359897633
PCBL,0.009933799850118144
PURVA,0.015265622622952882
QUESS,0.0047225417570921115
RACE,0.0002715357173133718
RAYMOND,0.014940090510752891
RHIM,0.012739520119479774
ROUTE,0.013068950351666152
RSYSTEMS,0.0015801697390892665
RTNINDIA,0.013872765235988883
SAFARI,0.007343993512730477
SAREGAMA,0.0016951963451233378
SFL,0.012481294555516702
SIGNATURE,0.06917613296494106
STARCEMENT,0.008426431315107131
STEELXIND,0.003518170333128808
SUMMITSEC,0.0013938553686258194
SUNTECK,0.08244216966346014
SYRMA,0.023558044054317277
TARIL,0.028972817524022105
TECHNOE,0.005721608245869711
TEGA,0.007581018252267937
TEJASNET,0.018240602245826684
TI,0.018145017151517732
VERTOZ,0.05071861348867108
VGUARD,0.023284154503535992
VIPIND,0.014279750021201043
WELCORP,0.0247821585057812
WOCKPHARMA,0.015202257868727873
