Stock Code,PORTFOLIO_WEIGHTS
ABAN,0.038795567791997734
ADANIENT,0.0517254798747587
AXISBANK,0.03414882289232116
EDUCOMP,0.04459455674983953
GLENMARK,0.03650882092191498
GMRAIRPORT,0.07
GTLINFRA,0.07
GVT&D,0.0012171783642623494
HAVELLS,0.0010211211041020868
HCLTECH,0.04464111082012971
HINDALCO,0.0033488026450170295
IDBI,0.023173360754968206
IDEA,0.04488136881209542
JMFINANCIL,0.023002118787088317
LICHSGFIN,0.03781043741415259
MOTHERSON,0.012891673900435168
NFL,0.017054534821934905
PFC,0.07
PTC,0.039521553165680665
RECLTD,0.0564630148653575
RELIGARE,0.07
RELINFRA,0.018143488886604026
SUZLON,0.032816611289535495
TATAMOTORS,0.05687482163100508
TATAPOWER,0.050589248155393556
TATASTEEL,0.04685365003772086
UNITECH,0.003922656313684975
