Stock Code,PORTFOLIO_WEIGHTS
ACLGATI,0.02001563258415988
ASHOKA,0.02289710232491327
BAJAJHIND,0.07
BAJAJHLDNG,0.041219471837061844
DHANI,0.07
GOCLCORP,0.0669772676917786
HLVLTD,0.0238417260673919
HONAUT,0.005860603315487829
IL&FSTRANS,0.02222772243311406
IRB,0.05193522945447726
JUBLPHARMA,0.05065127384407257
KIRLOSIND,0.07
MOTILALOFS,0.04841049294889229
NAUKRI,0.050800196107267256
PEL,0.002208061625360723
PFIZER,0.07
RPOWER,0.07
SAMMAANCAP,0.054209452410967064
SECURKLOUD,0.07
THOMASCOOK,0.024371907720560495
TORNTPHARM,0.058948115700912136
ZEEMEDIA,0.03542574393358298
