Stock Code,PORTFOLIO_WEIGHTS
APLLTD,0.0035824235547207953
BHARATWIRE,0.027881751693083805
BRNL,0.2906473067669653
CANFINHOME,0.03946563962451376
CDSL,0.020787987541570453
CESC,0.03273721123148118
CHOLAHLDNG,0.045625218975632986
DISHTV,0.024708016952187075
ERIS,0.024572169157464328
GODREJPROP,0.025493221432842272
GREENPOWER,0.06452202458054854
GSPL,0.021573257458191726
IEX,0.041313694137005
INFIBEAM,0.08821173745795047
KAJARIACER,0.0004752708924032221
KEC,0.0018278568682692582
MUTHOOTFIN,0.10455173382377349
NAM-INDIA,0.021184271523167836
NBCC,0.022756703384954245
NITCO,0.004474075828636045
PRESTIGE,0.0018246749803429115
QUESS,0.031040790602315793
SCHAEFFLER,0.022235657085636084
SIS,0.006812828327269184
SUNTECK,0.0017227956025555949
THOMASCOOK,0.005866665959271468
UNOMINDA,0.004475637333158326
WELENT,0.01962937722408886
