Stock Code,PORTFOLIO_WEIGHTS
ABAN,0.03219685860968772
ADANIENT,0.04292753159265196
AXISBANK,0.02834047508329339
EDUCOMP,0.03700950186202555
GLENMARK,0.030299062808709976
GMRAIRPORT,0.09607946616334967
GTLINFRA,0.0588282265890989
GVT&D,0.0010101494043608075
HAVELLS,0.0008474393773126974
HCLTECH,0.03704813758523173
HINDALCO,0.002779207301500083
IDBI,0.019231821112639977
IDEA,0.03724753027458844
JMFINANCIL,0.01908970556332172
LICHSGFIN,0.0313792883228538
MOTHERSON,0.010698938704542643
NFL,0.014153741717606612
PFC,0.11595409211050134
PTC,0.03279936167278226
RECLTD,0.04685926279113748
RELIGARE,0.131602477981096
RELINFRA,0.015057476397830274
SUZLON,0.027234858358129162
TATAMOTORS,0.047201025651244476
TATAPOWER,0.04198456067874803
TATASTEEL,0.03888434765796754
UNITECH,0.0032554546277877897
