Stock Code,PORTFOLIO_WEIGHTS
APLLTD,0.005729170298213524
BHARATWIRE,0.04458973128726818
BRNL,0.07
CANFINHOME,0.06311519754240366
CDSL,0.03324506970312179
CESC,0.05235479707210718
CHOLAHLDNG,0.07
DISHTV,0.039514154227712185
ERIS,0.03929690042209286
GODREJPROP,0.04076988798444954
GREENPOWER,0.07
GSPL,0.03450090810795214
IEX,0.06607068810925527
INFIBEAM,0.07
KAJARIACER,0.0007600742454849652
KEC,0.0029231896003123485
MUTHOOTFIN,0.07
NAM-INDIA,0.033878824585074185
NBCC,0.036393527210518875
NITCO,0.007155140077057259
PRESTIGE,0.0029181009843177804
QUESS,0.04964180612242355
SCHAEFFLER,0.03556024690838543
SIS,0.01089537658046701
SUNTECK,0.0027551709744225487
THOMASCOOK,0.009382231846680118
UNOMINDA,0.007157637304197748
WELENT,0.031392168806081824
