Stock Code,PORTFOLIO_WEIGHTS
AETHER,0.015775255594572452
ALEMBICLTD,0.024831355055858872
BLS,0.03679603290377095
BLSE,0.010315334559094707
CELLO,0.04058559254224797
CENTURYPLY,0.022194829477440454
CGCL,0.030969865072769078
DATAPATTNS,0.022230851627296412
DBREALTY,0.013138738399887391
DEVYANI,0.030709093965084942
DIACABS,0.05643486156439465
DOMS,0.010714626881172938
EASEMYTRIP,0.005942605740105614
ERIS,0.014655995355102081
GREENLAM,0.0014329011799283705
GREENPLY,0.013018961056649054
HAPPSTMNDS,0.01399045406537914
HNDFDS,0.0001252810709373024
JWL,0.025445532941669926
KAYNES,0.03841427802570431
METROPOLIS,0.009432021389146106
NETWEB,0.012981984720714775
OMAXE,0.0008338822918880346
PAISALO,0.05247272435168722
PCBL,0.010069839905279878
PURVA,0.015474680201627573
QUESS,0.004787215381569331
RACE,0.00027525430783452594
RAYMOND,0.01514469003639966
RHIM,0.012913983572130012
ROUTE,0.013247925240789318
RSYSTEMS,0.001601809633360747
RTNINDIA,0.01406274810019238
SAFARI,0.007444567039241319
SAREGAMA,0.0017184114901614982
SFL,0.012652221695729028
SIGNATURE,0.07
STARCEMENT,0.008541828464055134
STEELXIND,0.003566350495142192
SUMMITSEC,0.0014129437501209509
SUNTECK,0.07
SYRMA,0.023880663561555864
TARIL,0.029369590536729013
TECHNOE,0.0057999637506237845
TEGA,0.007684837753041185
TEJASNET,0.018490401172032753
TI,0.018393507071935617
VERTOZ,0.05141318787921947
VGUARD,0.02360302318529403
VIPIND,0.014475306405453827
WELCORP,0.02512154184961948
WOCKPHARMA,0.01541044768835868
